name,review,contrib,humanized_timestamp,minires_images,stars.label,stars.value
Teras,"A unique and interesting island located in the middle of the Mahakam River right in the center of Tengarong and Tengarong Seberang, Kutai Kerta Negara Regency is called Kumala Island or Kumala Fantasy Island. What's interesting is that this island is specially designed as a tourist attraction typical of Dayak culture, which is beautiful and unique, combined with parks and green trees combined with Dayak reliefs. There are tall and multi-story betang houses made from native Kalimantan wood, namely ironwood. There is a hall provided on certain days for Dayak cultural performances, music and arts. There are also swimming pools, fountains and villas with good road facilities. There is a unique and distinctive Dayak souvenir center with a relatively complete variety. The island is relatively large. To surround this island there are Delmans or horses pulling wheeled carriages.","Local Guide · 595 reviews · 3,079 photos",4 years ago,[no_minires_images],5 stars,5
baim Journey,"One of the tourist destinations on Kumala Island, Tenggarong district. Kutai Kartanegara which provides information about the customs and culture of the Dayak tribe as one of the ethnic groups in East Kalimantan",Local Guide · 99 reviews · 401 photos,6 years ago,"['https://lh5.googleusercontent.com/p/AF1QipMgXFFi2MJWt7U4xb9FSaAEH8BJERiwRwilFK3m=w375-h563-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipO_AP7VZjLQm3MHkb6A8UyRRk90FUMA3p_n95K4=w375-h281-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOmGNM40DRozKaFhskAUxgHIVS5UUb5pxQehx9W=w375-h281-p-k-no']",5 stars,5
Gustian Garang,"Amazing... As a Dayak person, I am very proud of the city of Tenggarong which is famous for its arts and culture",4 reviews · 10 photos,a year ago,[no_minires_images],5 stars,5
Oktoberianto Wonodiharjo,Hopefully I can walk here again,"Local Guide · 683 reviews · 6,541 photos",3 years ago,"['https://lh5.googleusercontent.com/p/AF1QipOgJxdKF7iX-TsJTn-cfZWRlyEkGXK8oC_mS9rK=w375-h281-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNq4I-IXmjoluNjf84qCbP5cZCdqOOUkO2ueMSA=w375-h281-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPUGnl77doFg5QVoVczLNF5QUBwZ4b6IH8d72ix=w375-h281-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMVGcE3KrKx5u7zNzjAfTVjbRreC3CgmaVWKCLx=w375-h281-p-k-no']",4 stars,4
Dodik mangun minaryo,"Spot on Kumala Tenggarong Island, a unique building but seems neglected.",Local Guide · 63 reviews · 93 photos,5 years ago,[no_minires_images],4 stars,4
kusuma prabowo,A location to get to know Dayak culture while touring Kumala Island,"Local Guide · 603 reviews · 2,551 photos",6 years ago,['https://lh5.googleusercontent.com/p/AF1QipOY_ViXdTbxJsIFGc1nbpJLSYk2JHHiTtk8U90Z=w750-h563-p-k-no'],4 stars,4
Kososi,Hopefully in the future it can be better maintained,Local Guide · 62 reviews · 352 photos,5 years ago,[no_minires_images],5 stars,5
Fuad,The building is not maintained,Local Guide · 131 reviews · 219 photos,6 years ago,[no_minires_images],4 stars,4
Christian N. Sema,[no_review],Local Guide · 7 reviews · 619 photos,6 years ago,['https://lh5.googleusercontent.com/p/AF1QipP6HuHTGEFP6R_CcGdFxqK5vVT-MrKLdzhAG223=w750-h563-p-k-no'],5 stars,5
林茂全,[no_review],Local Guide · 3 reviews · 82 photos,2 years ago,[no_minires_images],5 stars,5
Ko Aseng,"Come visit here, OK?",Local Guide · 59 reviews · 89 photos,6 years ago,[no_minires_images],5 stars,5
Roni Mdr,[no_review],[no_contrib],2 years ago,[no_minires_images],5 stars,5
faiz gaozhan,[no_review],Local Guide · 250 reviews · 249 photos,4 years ago,[no_minires_images],5 stars,5
Adam Fadhilah,[no_review],[no_contrib],4 years ago,[no_minires_images],5 stars,5
Bagus sugiarto,[no_review],[no_contrib],5 years ago,[no_minires_images],5 stars,5
Amy Arifin,[no_review],4 reviews,5 years ago,[no_minires_images],5 stars,5
Hdr Kmz,[no_review],1 review · 14 photos,5 years ago,[no_minires_images],3 stars,3
Gie Ardi,[no_review],Local Guide · 3 reviews · 3 photos,5 years ago,[no_minires_images],5 stars,5
Wahyuni Harliyanti,[no_review],Local Guide · 2 reviews · 1 photo,5 years ago,[no_minires_images],4 stars,4
Ari Purwanto,[no_review],Local Guide · 75 reviews · 34 photos,5 years ago,[no_minires_images],4 stars,4
Biji sukun,[no_review],1 review · 1 photo,5 years ago,[no_minires_images],5 stars,5
Is Andreas,[no_review],Local Guide · 29 reviews,6 years ago,[no_minires_images],5 stars,5
willy ryant,[no_review],1 photo,6 years ago,[no_minires_images],3 stars,3
Ceka Nizzu,[no_review],4 reviews · 11 photos,6 years ago,[no_minires_images],5 stars,5
A. N. M.,[no_review],Local Guide,6 years ago,[no_minires_images],4 stars,4
